,pcd_adjusted,lat,long,ages_0_15,ages_16_29,ages_30_44,ages_45_65,ages_66_plus,pop_density,couple_children_dependent,couple_children_nondependent,lone_parent,single,other_multi,owned_outright,owned_mortgage,rented_social,rented_private,usual_residents,nonusual_residents,house_detached,house_semidetached,house_terraced,flat,economic_active,economic_inactive,employee,self-employed,unemployed,student,unqualified,level_1,level_2,apprenticeship,level_3,level_4,other,good_health,fair_health,bad_health,public_transport_accessibility,mean_income
0,BR1,51.41073151928615,0.01941531002892961,0.20019691547285323,0.1844319943220864,0.2668250030309209,0.20612093318141525,0.14242515399272954,53.1099324975892,0.1777844744455131,0.24737367405979213,0.12328833172613413,0.35718659594984964,0.09468177434908351,0.24256943105111184,0.315329315332695,0.1950597878495669,0.22545612343297577,0.939112343297956,0.06088765670202504,0.11396094503375413,0.16337512054001338,0.20521456123432585,0.5174156219864928,899.1571841851495,0.2514313978829702,0.5576353948227887,0.11726545687824817,0.04970178940552021,0.023965961010477405,0.16753712632593976,0.11805303760848558,0.14128543876566915,0.016236740597878205,0.11688862102217848,0.3754185149469687,0.06416923818707963,0.8347135969141966,0.11898505303760963,0.046661523625843186,4.166875602700112,47394.31967213115
1,BR2,51.39036686243751,0.021651243763364227,0.1955332128779358,0.16279607069878865,0.23080053366106645,0.24260243316268662,0.16826774959952692,40.64504632929437,0.20416393442623113,0.29628082679971335,0.10394654312188147,0.3233784746970789,0.0723456878118321,0.33218745545260164,0.3644647184604436,0.11611404133998582,0.16926086956521644,0.9505388453314276,0.049461154668567646,0.17496507483962925,0.2783022095509617,0.16023093371346886,0.3837341411261564,912.7056307911618,0.2583241114847368,0.5516377332877097,0.12875181798849175,0.038909560322667146,0.022376776916392394,0.15530149679258748,0.1292487526728435,0.15857590876692654,0.024601568068424586,0.11852815395580972,0.36272701354241105,0.05076621525302872,0.8525509622238023,0.1103749109052036,0.037240912330719925,3.3823235923022223,52311.475409836065
2,BR3,51.4034316146143,-0.03168665377268391,0.17708684054264742,0.15499333943927207,0.24972675917799372,0.25301457134798233,0.16517848949211536,46.816618911174785,0.18662893982807802,0.2840105062082066,0.09955635148042115,0.36654871060173105,0.0631260744985669,0.3094149952244593,0.3694851957975073,0.1257960840496667,0.17756781279847603,0.967749283667643,0.03225071633237869,0.1137430754536748,0.19902626552053526,0.28084336198662907,0.40641929321871756,878.3543457497613,0.24982161841617975,0.57557543833589,0.11868336818783433,0.03641407853457697,0.019505496525521776,0.16152817574020972,0.12263658070678081,0.1479746895893049,0.021729226361030942,0.11528605539636927,0.38014231136580295,0.050838108882523644,0.8467884431709769,0.1128529130850063,0.04033190066857618,3.314851957975149,52835.36485195797
3,BR4,51.37566271354146,-0.009914069444444458,0.19077830123430864,0.1577445903760103,0.15782701840054938,0.29035893024339837,0.20329115974572945,38.0,0.265253472222224,0.3251562499999998,0.09970312500000093,0.2514149305555571,0.05805381944444464,0.42358854166666676,0.4172690972222221,0.03428298611111124,0.11051388888888984,0.9681805555555568,0.03181944444444449,0.15893749999999987,0.5089496527777784,0.13035763888888935,0.19960243055555482,782.5121527777778,0.27066066187713594,0.5482805646431753,0.12548393780959038,0.026692906638229826,0.028881929031868387,0.15903645833333316,0.14116666666666766,0.1856562500000011,0.028579861111110907,0.13258506944444604,0.3109322916666666,0.04236111111111137,0.8555329861111072,0.11208506944444444,0.03233680555555565,2.313541666666664,57316.54861111111
4,BR5,51.389214841500824,0.10254774349157696,0.21679622527298362,0.16862991701171046,0.1972668673612958,0.2481801051728123,0.16912688518120153,42.094180704441044,0.20047856049004603,0.2941983154670763,0.14414012251148456,0.29635758039816357,0.06479632465543671,0.3095382848392082,0.3399571209800915,0.21486753445635204,0.11103062787136203,0.9736309341500878,0.026369065849923563,0.13723966309341534,0.42957656967841007,0.1912304747320064,0.24026033690658435,796.7970903522205,0.3064073002817397,0.5255206243547549,0.09604885550287767,0.047493857917263,0.024529361943364806,0.24008958652373488,0.1622090352220508,0.161549770290963,0.030633231240428684,0.10911408882082721,0.24688208269524925,0.049558958652373426,0.8218912710566575,0.1277128637059757,0.05040811638591118,2.955436447166896,43241.88361408882
5,BR6,51.36752254308753,0.09176564600123926,0.18274790035005534,0.15401997038784065,0.1834794750250054,0.2697631537425405,0.20998950049456472,32.26286422814631,0.21586236825790786,0.3484854308741491,0.08819404835709789,0.2836584004959724,0.06382827030378067,0.41137693738376435,0.3687334159950419,0.0780198388096703,0.12315561066336064,0.9699225046497183,0.030077495350279315,0.33116181029138003,0.31571853688778856,0.1414376937383762,0.20922008679478973,888.3161810291383,0.28470113282979664,0.5459702390027719,0.11338149140993795,0.031004694106853168,0.024942442650630434,0.17303347799131877,0.13781711097334154,0.16556044637321476,0.030611283323001438,0.11707935523868578,0.3315207687538705,0.04429014259144452,0.8467569745815295,0.11585368877867527,0.03726410415375043,3.3144451332920064,53693.41537507749
6,BR7,51.41181069498614,0.05951413231197793,0.18765014702909225,0.15683221143221243,0.2187000620741173,0.24020561632909604,0.19661196313548301,31.473537604456826,0.20256963788300708,0.3338203342618386,0.08075348189415057,0.31414763231197945,0.06889415041782744,0.37038161559888505,0.3596364902506966,0.09326601671309222,0.1569958217270195,0.9404610027855215,0.05953899721448519,0.3124623955431744,0.1797033426183842,0.15962952646239612,0.34824651810584517,812.3356545961003,0.28044827663458843,0.5305256623668442,0.13524980383854182,0.03301350099414785,0.020762756165875237,0.1493161559888576,0.11661142061281407,0.15004596100278694,0.023742339832869056,0.11197632311977652,0.3936002785515323,0.054761838440111336,0.8462493036211716,0.11365459610027816,0.040408077994429165,3.0171309192200515,59669.279944289694
7,BR8,51.396024363636364,0.14027972727272728,0.27391586339427687,0.17288921109685618,0.22751313382346972,0.21831790638465517,0.10736388530074213,3.272727272727273,0.18100000000000002,0.24618181818181825,0.19154545454545457,0.30563636363636365,0.07563636363636363,0.1999090909090909,0.3578181818181818,0.2999999999999999,0.1282727272727273,0.9652727272727272,0.034727272727272725,0.16554545454545455,0.2700909090909091,0.39372727272727276,0.14254545454545456,769.6363636363636,0.32406606478494654,0.4877787941456628,0.09772202730932524,0.06424571907737062,0.026187394682694744,0.2869090909090909,0.1539090909090909,0.17036363636363638,0.027909090909090915,0.10036363636363635,0.21009090909090913,0.05036363636363637,0.8269090909090909,0.12709090909090912,0.04599999999999999,1.0454545454545456,35449.09090909091
8,CM13,51.58931,0.266958,0.15357561547479484,0.15650644783118406,0.1477139507620164,0.3007033997655334,0.24150058616647127,4.0,0.19699999999999998,0.39799999999999996,0.081,0.271,0.054000000000000006,0.483,0.392,0.057999999999999996,0.059000000000000004,0.972,0.027999999999999997,0.23800000000000002,0.42100000000000004,0.255,0.086,869.0,0.29692556634304207,0.5105177993527508,0.12540453074433658,0.03964401294498382,0.02750809061488673,0.26,0.166,0.163,0.04,0.115,0.21,0.045,0.815,0.139,0.046,1.6,43059.0
9,CM14,51.609021,0.260054,0.17950435365036838,0.2143335565974548,0.2042866711319491,0.27461486939048896,0.12726054922973878,10.0,0.19399999999999998,0.28800000000000003,0.15,0.304,0.064,0.21899999999999997,0.301,0.405,0.055999999999999994,0.987,0.013000000000000001,0.045,0.45799999999999996,0.31,0.187,770.0,0.3069306930693069,0.49504950495049505,0.09090909090909091,0.0774077407740774,0.0297029702970297,0.319,0.187,0.159,0.039,0.099,0.14300000000000002,0.054000000000000006,0.79,0.14300000000000002,0.068,2.4,30910.0
