,type,bedrooms,bathrooms,nearest_station,address,price,postcode,size_imputed
0,End of Terrace,3,1,0.7,"Spekehill, Mottingham, SE9",1850,SE9,861.7763713080169
1,Terraced,4,2,0.5,"Leigh Road, East Ham, London, E6 2AR",2100,E6 2AR,861.7763713080169
2,Flat,1,1,0.1,"Memorial Avenue, London, E15",1350,E15,861.7763713080169
3,House,3,1,0.1,Mind-Blowing 3 Bed House in Ealing W5,2102,W5,861.7763713080169
4,Flat,2,1,0.6,"Stormont Road, London, SW11",2100,SW11,861.7763713080169
5,Flat,3,1,0.3,"Vertex Tower, London, SE8",2297,SE8,861.7763713080169
6,Apartment,1,1,0.1,"Dorset Square, Marylebone, London NW1",3033,NW1,861.7763713080169
7,Apartment,2,2,0.1,"Sledge Tower, Dalston Square, Dalston E8",2383,E8,861.7763713080169
8,Apartment,2,2,0.2,"Garrett Mansions, West End Gate, Paddington W2",3445,W2,861.7763713080169
9,Apartment,1,1,0.1,"Paddington Exchange, Hermitage Street, Paddington W2",2492,W2,861.7763713080169
10,Apartment,2,1,0.2,"Godolphin Road, London, W12",1700,W12,861.7763713080169
11,Flat,2,1,0.3,"Rush Grove Street, London, SE18",5417,SE18,861.7763713080169
12,Apartment,1,1,0.0,"Marner Point, St Andrews, Bow E3",1582,Bow E3,861.7763713080169
13,Flat,2,2,0.1,"Upper Richmond Road, London, SW15",2300,SW15,861.7763713080169
14,Flat,2,1,0.9,"Tildesley Road, London, SW15",1700,SW15,861.7763713080169
15,House,4,2,0.1,"Follett Street, London, E14",2600,E14,861.7763713080169
16,Apartment,1,1,0.1,Mount Pleasant Crescent N4 4HR,1380,4HR,861.7763713080169
17,Apartment,2,2,0.1,"Horseferry Place, Greenwich, London, SE10",2500,SE10,861.7763713080169
18,Apartment,1,1,0.1,"Jackson Road, Islington, London, N7",1625,N7,861.7763713080169
19,Apartment,2,2,0.2,"Longfield Avenue, Ealing, W5",2800,W5,861.7763713080169
20,Flat,1,1,0.1,Great Dover Street London SE1,1800,SE1,861.7763713080169
21,Flat,1,1,0.5,"The Filaments, Wandsworth, London, SW18",1825,SW18,861.7763713080169
22,Flat,2,2,0.2,"Channelsea House, London, E15",1800,E15,861.7763713080169
23,Flat,1,1,0.2,"Cornwall Crescent, London, W11",1950,W11,861.7763713080169
24,Apartment,2,2,0.1,"The Grainstore, Royal Victoria Dock, E16",1800,E16,893
25,Terraced,3,2,0.2,Victory Road London SW19,3200,SW19,861.7763713080169
26,Flat,1,1,0.5,"Poppleton Road, Leytonstone, London, E11",1050,E11,861.7763713080169
27,Flat,2,1,0.1,Elmers End Road Beckenham BR3,1350,BR3,861.7763713080169
28,Flat,1,1,0.3,"Leigh Hunt Drive, Southgate , London N14",1300,N14,861.7763713080169
29,Apartment,1,1,0.1,"The Oxygen Apartments, Royal Victoria Dock, E16",1450,E16,495
