,type,bedrooms,bathrooms,nearest_station,address,price,postcode,size_imputed
0,flat,2,2,0.0,"Bramham Gardens, London SW5",4312,SW5,1058.3333333333333
1,terraced house,4,2,0.2,"Leigh Road, East Ham, London E6",2100,E6,1058.3333333333333
2,property,3,2,0.0,"Mostyn Road, London SW19",2350,SW19,1058.3333333333333
3,detached house,3,1,0.1,"Overdale Road, London W5",2102,W5,1058.3333333333333
4,flat,1,1,0.1,"The Filaments, Wandsworth, London SW18",1825,SW18,1058.3333333333333
5,flat,2,2,0.2,"Channelsea House, London E15",1800,E15,1058.3333333333333
6,flat,2,2,0.1,"Upper Richmond Road, London SW15",2300,SW15,1058.3333333333333
7,flat,1,1,0.3,"Overton Road, Sutton SM2",1025,SM2,1058.3333333333333
8,flat,1,1,0.1,"Kirk Rise, Sutton SM1",1000,SM1,1058.3333333333333
9,flat,2,1,0.1,"Marlins Close, Sutton SM1",1200,SM1,1058.3333333333333
10,flat,1,1,0.2,"Coney Burrows, London E4",995,E4,1058.3333333333333
11,end terrace house,2,1,0.3,"Wrotham Road, Ealing, London W13",1940,W13,1058.3333333333333
12,flat,1,1,0.1,"Great Dover Street, London SE1",1800,SE1,1058.3333333333333
13,terraced house,3,2,0.2,"Victory Road, London SW19",3200,SW19,1058.3333333333333
14,flat,2,1,0.1,"Elmers End Road, Beckenham BR3",1350,BR3,1058.3333333333333
15,property,4,4,0.1,"Elm Road, London E7",2500,E7,1058.3333333333333
16,detached house,3,1,0.1,"Sheen Road, Richmond TW9",2995,TW9,1058.3333333333333
17,flat,3,2,0.1,"Gilpin Avenue, East Sheen, London, UK SW14",1950,UK SW14,1058.3333333333333
18,flat,2,2,0.2,"Montrose Building, 4 Malthouse Road, London SW11",2750,SW11,1058.3333333333333
19,maisonette,3,2,0.2,"Madrid Road, Barnes, London SW13",3500,SW13,1058.3333333333333
20,end terrace house,5,2,0.1,"Listowel Road, Dagenham RM10",1900,RM10,1058.3333333333333
21,flat,2,1,0.1,"London, London W1G",3800,W1G,1058.3333333333333
22,semi-detached house,3,1,0.1,"Maycross Avenue, Morden SM4",2400,SM4,1058.3333333333333
23,semi-detached house,3,1,0.1,"St. James Avenue, Sutton SM1",1850,SM1,1058.3333333333333
24,flat,2,2,0.0,"Bramham Gardens, London SW5",4312,SW5,1058.3333333333333
25,terraced house,4,2,0.2,"Leigh Road, East Ham, London E6",2100,E6,1058.3333333333333
26,property,3,2,0.0,"Mostyn Road, London SW19",2350,SW19,1058.3333333333333
27,detached house,3,1,0.1,"Overdale Road, London W5",2102,W5,1058.3333333333333
28,flat,1,1,0.1,"The Filaments, Wandsworth, London SW18",1825,SW18,1058.3333333333333
29,flat,2,2,0.2,"Channelsea House, London E15",1800,E15,1058.3333333333333
30,flat,2,2,0.1,"Upper Richmond Road, London SW15",2300,SW15,1058.3333333333333
31,flat,1,1,0.3,"Overton Road, Sutton SM2",1025,SM2,1058.3333333333333
32,flat,1,1,0.1,"Kirk Rise, Sutton SM1",1000,SM1,1058.3333333333333
33,flat,2,1,0.1,"Marlins Close, Sutton SM1",1200,SM1,1058.3333333333333
34,flat,1,1,0.2,"Coney Burrows, London E4",995,E4,1058.3333333333333
35,end terrace house,2,1,0.3,"Wrotham Road, Ealing, London W13",1940,W13,1058.3333333333333
36,flat,1,1,0.1,"Great Dover Street, London SE1",1800,SE1,1058.3333333333333
37,terraced house,3,2,0.2,"Victory Road, London SW19",3200,SW19,1058.3333333333333
38,flat,2,1,0.1,"Elmers End Road, Beckenham BR3",1350,BR3,1058.3333333333333
39,property,4,4,0.1,"Elm Road, London E7",2500,E7,1058.3333333333333
40,detached house,3,1,0.1,"Sheen Road, Richmond TW9",2995,TW9,1058.3333333333333
41,flat,3,2,0.1,"Gilpin Avenue, East Sheen, London, UK SW14",1950,UK SW14,1058.3333333333333
42,flat,2,2,0.2,"Montrose Building, 4 Malthouse Road, London SW11",2750,SW11,1058.3333333333333
43,maisonette,3,2,0.2,"Madrid Road, Barnes, London SW13",3500,SW13,1058.3333333333333
44,end terrace house,5,2,0.1,"Listowel Road, Dagenham RM10",1900,RM10,1058.3333333333333
45,flat,2,1,0.1,"London, London W1G",3800,W1G,1058.3333333333333
46,semi-detached house,3,1,0.1,"Maycross Avenue, Morden SM4",2400,SM4,1058.3333333333333
47,semi-detached house,3,1,0.1,"St. James Avenue, Sutton SM1",1850,SM1,1058.3333333333333
48,bungalow,3,1,0.3,"Repton Road, Orpington BR6",2050,BR6,1058.3333333333333
49,flat,2,2,0.2,"Oval Road, London NW1",3445,NW1,1058.3333333333333
50,end terrace house,9,3,0.3,"Rays Avenue, Edmonton, London N18",4000,N18,1058.3333333333333
51,flat,2,2,0.3,"Charles Clowes Walk, London SW11",4983,SW11,1058.3333333333333
52,maisonette,4,2,0.2,"Levita House, Chalton Street NW1",4117,NW1,1058.3333333333333
53,detached house,6,4,0.2,"Wandle Manor, London Road, Wallington SM6",5000,SM6,1058.3333333333333
54,flat,2,1,0.1,"Oakley Close, Isleworth TW7",1450,TW7,581
55,flat,1,1,0.1,"Finchley Road, Temple Fortune NW11",1452,NW11,1058.3333333333333
56,terraced house,2,1,0.2,"Canonsleigh Road, Dagenham RM9",1350,RM9,1058.3333333333333
57,flat,2,1,0.0,"Euston Road, London NW1",3142,NW1,1058.3333333333333
58,terraced house,2,1,0.1,"Borland Road, London SE15",1850,SE15,1058.3333333333333
59,flat,2,1,0.2,"Aldrington Road, London SW16",1580,SW16,1058.3333333333333
60,flat,2,1,0.1,"Kenton Lane, Harrow HA3",1525,HA3,1058.3333333333333
61,flat,2,1,0.1,"Merton Road, Southfields SW18",1725,SW18,623
62,flat,2,1,0.1,"Finchley Road, Temple Fortune NW11",1712,NW11,1058.3333333333333
63,flat,1,1,0.1,"Streatham Common North, London SW16",1500,SW16,1058.3333333333333
64,,4,2,0.0,"Milligan Street, London E14",3500,E14,1058.3333333333333
65,flat,2,2,0.2,"Flat 1003, London SE18",2400,SE18,1058.3333333333333
66,flat,2,1,0.2,"Becontree Avenue, Becontree, Dagenham RM8",1300,RM8,1058.3333333333333
67,semi-detached house,3,1,0.1,"Ripple Road, Barking IG11",1900,IG11,1058.3333333333333
68,flat,2,1,0.1,"Wellesley Rd, Croydon CR0",1249,CR0,1058.3333333333333
69,flat,2,1,0.1,"Earlsfield Road, London SW18",1700,SW18,1058.3333333333333
70,maisonette,2,1,0.1,"Surbiton, Surrey KT6",1450,KT6,1058.3333333333333
71,flat,3,1,0.1,"Anselm Rd, Fulham SW6",1900,SW6,1058.3333333333333
72,flat,1,1,0.1,"Albemarle Road, Beckenham BR3",1100,BR3,1058.3333333333333
73,flat,1,1,0.1,"Great Slades, Potters Bar EN6",1000,EN6,1058.3333333333333
74,property,4,3,0.1,"Greyhound Road, London W6",3683,W6,1058.3333333333333
75,flat,1,1,0.1,"Woodhouse Road, London N12",1148,N12,1058.3333333333333
76,terraced house,3,2,0.1,"Ford Road, Dagenham RM9",1650,RM9,1058.3333333333333
77,flat,1,1,0.2,"The Paragon, London SE3",1675,SE3,1058.3333333333333
78,terraced house,4,1,0.2,"Marston Avenue, Dagenham RM10",1675,RM10,1058.3333333333333
